City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,72.88,scattered clouds,-23.1203,-134.9692,People ThankYou
6,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
8,Avera,US,67.37,overcast clouds,33.194,-82.5271, 
15,Cap Malheureux,MU,72.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
17,Launceston,AU,69.44,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
21,Aswan,EG,68.16,clear sky,24.0934,32.907,Nuba Nile
22,Ippy,CF,67.91,overcast clouds,6.2679,21.2247, 
23,Iracoubo,GF,79.45,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
25,Gorontalo,ID,84.29,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
28,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Bandarbeyla,SO,76.32,overcast clouds,9.4942,50.8122,JABIR HOTEL
30,Puri,IN,73.92,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
31,Westport,US,67.55,mist,41.1415,-73.3579,The Westport Inn
33,Boueni,YT,78.78,overcast clouds,-12.9025,45.0761,The feet in water
35,Cabo San Lucas,MX,79.18,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
36,Mana,GF,79.14,overcast clouds,5.6592,-53.7767,LE SAMANA
37,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
39,Hithadhoo,MV,81.93,broken clouds,-0.6,73.0833,Scoop Guest House
43,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
45,Hirara,JP,78.66,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
49,Soyo,AO,76.6,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
50,Tautira,PF,78.53,overcast clouds,-17.7333,-149.15,Pension Oaoa
53,Kalemie,CD,73.08,overcast clouds,-5.9475,29.1947,Mahobilali
55,Kendari,ID,89.02,overcast clouds,-3.945,122.4989,Hotel Wixel
58,Arraial Do Cabo,BR,70.97,clear sky,-22.9661,-42.0278,Pousada Porto Praia
59,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
60,Fowa,NG,74.5,light rain,8.9167,6.4, 
61,Dwarka,IN,79.95,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
62,Borazjan,IR,76.21,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
63,Sao Joao Da Barra,BR,70.16,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
69,Abu Samrah,SY,70.59,overcast clouds,35.3029,37.1841, 
70,Inhambane,MZ,76.15,scattered clouds,-23.865,35.3833,Oceano
71,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
76,Sidi Ali,DZ,71.87,overcast clouds,36.0998,0.4206,Khaled
78,Ponta Do Sol,PT,73.0,broken clouds,32.6667,-17.1,Hotel do Campo
79,Idenao,CM,76.41,light rain,4.2475,9.0047,Moland Beach Resort
80,Tahta,EG,67.66,clear sky,26.7693,31.5021,فندق الزيات
82,Bilma,NE,68.22,clear sky,18.6853,12.9164,Expeditions Ténére voyages
88,Palimbang,PH,87.06,broken clouds,6.2106,124.1894,Felmar Beach resort
90,Mayumba,GA,76.87,light rain,-3.432,10.6554,LIKWALE LODGE
91,Doba,TD,70.36,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
92,Russell,US,70.83,broken clouds,32.3502,-85.1999,Macs
94,Kavaratti,IN,82.33,scattered clouds,10.5669,72.642,Green leaf
95,Sao Filipe,CV,78.24,overcast clouds,14.8961,-24.4956,Hotel Xaguate
96,Biak,ID,85.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
99,Carnarvon,AU,70.65,clear sky,-24.8667,113.6333,Hospitality Carnarvon
101,Kapaa,US,87.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
104,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
105,Lorengau,PG,86.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
106,El Paraiso,HN,68.16,overcast clouds,13.8667,-86.55,Hotel Isis
108,Bengkulu,ID,75.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
111,Phaltan,IN,68.58,clear sky,17.9833,74.4333,Hotel New Vijay
114,Namatanai,PG,84.4,light rain,-3.6667,152.4333,Seagulls Inn Namatani
115,Victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Central
117,Agadir,MA,75.65,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
118,Atuona,PF,77.31,clear sky,-9.8,-139.0333,Villa Enata
123,Mogok,MM,69.44,overcast clouds,22.9167,96.5,MOGOK HILL HOTEL
124,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
128,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
136,Panaba,MX,78.4,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
138,Karratha,AU,89.26,clear sky,-20.7377,116.8463,ibis Styles Karratha
140,Georgetown,MY,84.24,few clouds,5.4112,100.3354,Cititel Penang
142,Bambous Virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
143,Tukrah,LY,68.95,clear sky,32.5341,20.5791,Lagrota restaurant
144,Hambantota,LK,77.34,heavy intensity rain,6.1241,81.1185,Bungalow 63
146,Vero Beach,US,77.0,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
149,Choma,ZM,70.25,broken clouds,-16.8065,26.9531,Kamuboola Lodge
151,Pontianak,ID,80.58,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
153,Honiara,SB,85.53,broken clouds,-9.4333,159.95,Heritage Park Hotel
154,Aitape,PG,85.78,overcast clouds,-3.1374,142.3475, 
155,Tan An,VN,84.22,overcast clouds,10.5333,106.4167,Mỹ Đình
156,Itarema,BR,78.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
157,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
158,Nouadhibou,MR,70.66,clear sky,20.931,-17.0347,El Medina
162,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
165,Umm Lajj,SA,78.26,clear sky,25.0213,37.2685,Moon light Furnished Units
168,Dong Xoai,VN,83.28,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
170,Tebingtinggi,ID,75.67,moderate rain,3.3285,99.1625,Hotel Malibou tebing tinggi
173,Broome,US,67.19,broken clouds,42.2506,-75.833,Chenango Valley State Park
175,Simbahan,PH,83.8,overcast clouds,6.3032,120.5836, 
178,Doha,QA,80.58,clear sky,25.2867,51.5333,Mövenpick Doha
180,Chiredzi,ZW,75.49,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
184,Abu Dhabi,AE,78.82,clear sky,24.4667,54.3667,Beach Rotana
187,Alta Floresta,BR,73.26,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
189,Nyimba,ZM,75.63,few clouds,-14.5566,30.8149,Dali Dali Lodge
190,Lodja,CD,68.27,light rain,-3.4833,23.4333, 
191,Beloha,MG,69.01,overcast clouds,-25.1667,45.05, 
193,Conceicao Da Barra,BR,71.44,light rain,-18.5933,-39.7322,Cricaré Praia Hotel
198,Port Moresby,PG,92.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
199,High Rock,BS,77.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
200,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
203,Port-Gentil,GA,78.64,overcast clouds,-0.7193,8.7815,Fengshui Residence
208,Sungairaya,ID,84.49,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
211,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
212,Mtambile,TZ,75.54,light rain,-5.3833,39.7, 
216,Kaduqli,SD,70.52,scattered clouds,11.0167,29.7167,Nussyba
219,Dingle,PH,83.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
225,Tombouctou,ML,75.54,clear sky,20.0,-3.0, 
226,Sambava,MG,68.99,scattered clouds,-14.2667,50.1667,Melrose
227,Salalah,OM,73.65,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Nokaneng,BW,75.63,light rain,-19.6667,22.2667, 
235,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
237,Bawku,GH,80.44,broken clouds,11.0616,-0.2417,Ultimate Guest House
238,Wagar,SD,81.52,clear sky,16.1525,36.2032, 
239,Flinders,AU,81.37,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
240,Tete,MZ,78.89,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
241,Poum,NC,76.91,clear sky,-20.2333,164.0167, 
242,Asfi,MA,75.13,overcast clouds,32.2994,-9.2372,Hôtel Abda
244,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
245,Male,MV,80.55,few clouds,4.1748,73.5089,Hotel Octave Maldives
247,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
248,Cupira,BR,67.44,overcast clouds,-8.6167,-35.95,Hotel Farm Home to Glory
250,Buala,SB,84.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
257,Yulara,AU,80.74,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
259,Wattegama,LK,76.96,overcast clouds,6.7989,81.4808, 
261,Avanigadda,IN,73.09,clear sky,16.0215,80.9181,AP Camping
263,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
264,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
267,Touros,BR,77.74,clear sky,-5.1989,-35.4608,INN NEW HORIZON
