City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,24.96,93,100,6.91,light snow
1,Rikitea,PF,-23.1203,-134.9692,72.88,79,47,13.62,scattered clouds
2,Vardo,NO,70.3705,31.1107,31.98,86,75,17.27,broken clouds
3,Busselton,AU,-33.65,115.3333,62.47,57,68,8.08,broken clouds
4,Truro,GB,50.2653,-5.0544,60.08,88,75,19.57,broken clouds
5,Zhezkazgan,KZ,47.8043,67.7144,35.58,69,0,6.71,clear sky
6,Avarua,CK,-21.2078,-159.775,77.05,57,100,9.22,overcast clouds
7,Hobart,AU,-42.8794,147.3294,59.27,98,75,17.27,drizzle
8,Avera,US,33.194,-82.5271,67.37,52,100,7.87,overcast clouds
9,Port-Cartier,CA,50.0334,-66.8654,48.42,86,100,2.42,overcast clouds
10,Port Hardy,CA,50.6996,-127.4199,46.58,93,75,2.3,broken clouds
11,Albany,US,42.6001,-73.9662,66.61,89,38,4.65,scattered clouds
12,Saint George,US,37.1041,-113.5841,63.19,33,0,1.01,clear sky
13,Torbay,CA,47.6666,-52.7314,55.27,87,20,14.97,few clouds
14,Nikolskoye,RU,59.7035,30.7861,37.29,95,100,7.2,overcast clouds
15,Cap Malheureux,MU,-19.9842,57.6142,72.46,75,11,7.0,few clouds
16,Kenora,CA,49.8167,-94.4337,32.97,80,75,8.05,broken clouds
17,Launceston,AU,-41.45,147.1667,69.44,64,100,24.16,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,51.48,97,100,4.41,light rain
19,Yellowknife,CA,62.456,-114.3525,21.72,86,75,10.36,broken clouds
20,Barrow,US,71.2906,-156.7887,21.22,86,100,23.02,overcast clouds
21,Aswan,EG,24.0934,32.907,68.16,46,0,8.48,clear sky
22,Ippy,CF,6.2679,21.2247,67.91,98,98,2.39,overcast clouds
23,Iracoubo,GF,5.4802,-53.2011,79.45,80,63,7.85,broken clouds
24,Bluff,NZ,-46.6,168.3333,51.8,90,100,10.18,light rain
25,Gorontalo,ID,0.5412,123.0595,84.29,69,99,0.43,overcast clouds
26,Tiksi,RU,71.6872,128.8694,17.85,88,100,14.99,overcast clouds
27,Hermanus,ZA,-34.4187,19.2345,59.81,79,100,12.64,overcast clouds
28,Vaini,TO,-21.2,-175.2,73.56,73,75,4.61,broken clouds
29,Bandarbeyla,SO,9.4942,50.8122,76.32,81,89,5.17,overcast clouds
30,Puri,IN,19.8,85.85,73.92,68,18,7.16,few clouds
31,Westport,US,41.1415,-73.3579,67.55,91,100,6.91,mist
32,Vitim,RU,59.4511,112.5578,30.49,89,100,11.72,light snow
33,Boueni,YT,-12.9025,45.0761,78.78,75,98,15.93,overcast clouds
34,Tateyama,JP,34.9833,139.8667,61.16,61,64,20.42,broken clouds
35,Cabo San Lucas,MX,22.8909,-109.9124,79.18,70,4,5.53,clear sky
36,Mana,GF,5.6592,-53.7767,79.14,83,92,7.61,overcast clouds
37,Alice Springs,AU,-23.7,133.8833,85.55,26,4,12.66,clear sky
38,Cherskiy,RU,68.75,161.3,4.21,89,100,4.99,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,81.93,76,82,12.68,broken clouds
40,Palmer,US,42.1584,-72.3287,65.91,85,100,0.0,overcast clouds
41,Qaanaaq,GL,77.484,-69.3632,18.16,94,100,8.5,light snow
42,Klaksvik,FO,62.2266,-6.589,47.32,92,79,8.93,broken clouds
43,Port Blair,IN,11.6667,92.75,78.84,94,75,1.14,mist
44,Bethel,US,41.3712,-73.414,66.9,89,100,0.0,mist
45,Hirara,JP,24.8,125.2833,78.66,57,20,14.97,few clouds
46,Hasaki,JP,35.7333,140.8333,63.0,63,83,28.81,broken clouds
47,Emba,KZ,48.8264,58.1442,38.19,72,100,19.24,overcast clouds
48,Ovre Ardal,NO,61.3167,7.8,43.07,100,100,2.48,overcast clouds
49,Soyo,AO,-6.1349,12.3689,76.6,92,58,6.53,broken clouds
50,Tautira,PF,-17.7333,-149.15,78.53,81,91,23.29,overcast clouds
51,Punta Arenas,CL,-53.15,-70.9167,46.51,66,100,11.5,overcast clouds
52,Narsaq,GL,60.9167,-46.05,28.62,71,22,6.98,few clouds
53,Kalemie,CD,-5.9475,29.1947,73.08,66,100,4.54,overcast clouds
54,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,75,9.22,broken clouds
55,Kendari,ID,-3.945,122.4989,89.02,57,100,0.63,overcast clouds
56,Leshukonskoye,RU,64.8989,45.7622,28.58,96,35,5.14,scattered clouds
57,Jamestown,US,42.097,-79.2353,64.04,62,0,8.99,clear sky
58,Arraial Do Cabo,BR,-22.9661,-42.0278,70.97,78,1,8.32,clear sky
59,Kahului,US,20.8947,-156.47,87.82,69,20,26.46,few clouds
60,Fowa,NG,8.9167,6.4,74.5,89,100,2.57,light rain
61,Dwarka,IN,22.2394,68.9678,79.95,61,0,9.86,clear sky
62,Borazjan,IR,29.2666,51.2159,76.21,51,2,1.79,clear sky
63,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.16,88,1,7.87,clear sky
64,Korla,CN,41.7597,86.1469,50.9,37,24,1.72,few clouds
65,Komsomolskiy,UZ,40.4272,71.7189,57.92,67,75,18.41,light rain
66,Beringovskiy,RU,63.05,179.3167,22.6,69,18,7.02,few clouds
67,Tocopilla,CL,-22.092,-70.1979,62.2,67,22,9.55,few clouds
68,Ponta Delgada,PT,37.7333,-25.6667,61.52,82,40,4.61,light intensity shower rain
69,Abu Samrah,SY,35.3029,37.1841,70.59,41,100,6.29,overcast clouds
70,Inhambane,MZ,-23.865,35.3833,76.15,89,28,11.05,scattered clouds
71,Pochutla,MX,15.7432,-96.4661,80.82,93,92,2.75,overcast clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,75,11.5,broken clouds
73,Pisco,PE,-13.7,-76.2167,60.85,88,0,18.41,clear sky
74,Brigantine,US,39.4101,-74.3646,64.2,98,100,4.0,fog
75,Puerto Ayora,EC,-0.7393,-90.3518,65.55,97,47,5.01,scattered clouds
76,Sidi Ali,DZ,36.0998,0.4206,71.87,40,96,4.88,overcast clouds
