City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,69.8,69,0,17.54,ZA,2022-10-22 16:48:44
1,Hualmay,-11.0964,-77.6139,67.73,67,37,8.84,PE,2022-10-22 16:48:19
2,Moranbah,-22.0016,148.0466,71.31,68,19,7.99,AU,2022-10-22 16:46:40
3,Los Chiles,11.0333,-84.7167,80.98,85,72,3.44,CR,2022-10-22 16:48:44
4,Nikolskoye,59.7035,30.7861,42.78,90,51,6.02,RU,2022-10-22 16:48:45
5,Boguchany,58.3814,97.4531,42.78,93,100,9.35,RU,2022-10-22 16:48:45
6,Hithadhoo,-0.6,73.0833,82.18,72,93,7.96,MV,2022-10-22 16:48:45
7,Kargasok,59.0556,80.8572,34.38,84,100,4.9,RU,2022-10-22 16:48:46
8,Ushuaia,-54.8,-68.3,47.86,66,75,13.8,AR,2022-10-22 16:48:46
9,Esperance,-33.8667,121.9,54.91,81,83,14.65,AU,2022-10-22 16:48:46
10,Yellowknife,62.456,-114.3525,21.72,93,75,8.05,CA,2022-10-22 16:47:59
11,Jamestown,42.097,-79.2353,67.59,31,0,13.8,US,2022-10-22 16:43:55
12,Pitimbu,-7.4706,-34.8086,84.79,72,38,11.5,BR,2022-10-22 16:48:47
13,Olafsvik,64.8945,-23.7142,40.17,72,100,8.16,IS,2022-10-22 16:48:48
14,Clyde River,70.4692,-68.5914,21.43,93,40,12.66,CA,2022-10-22 16:48:48
15,Port Alfred,-33.5906,26.891,66.18,84,91,4.0,ZA,2022-10-22 16:48:48
16,Rikitea,-23.1203,-134.9692,71.02,83,99,23.4,PF,2022-10-22 16:48:49
17,Tutoia,-2.7619,-42.2744,84.63,67,90,15.88,BR,2022-10-22 16:48:49
18,East London,-33.0153,27.9116,68.94,68,0,10.36,ZA,2022-10-22 16:48:50
19,Vostok,46.4856,135.8833,25.11,89,64,3.74,RU,2022-10-22 16:48:50
20,Hagondange,49.2513,6.1681,63.95,90,29,3.33,FR,2022-10-22 16:48:51
21,Coolum Beach,-26.5333,153.1,68.11,97,100,13.49,AU,2022-10-22 16:45:30
22,Saint-Joseph,-21.3667,55.6167,71.98,82,92,4.68,RE,2022-10-22 16:48:51
23,Vaini,-21.2,-175.2,71.76,88,100,18.41,TO,2022-10-22 16:48:52
24,Blyth,55.1271,-1.5086,60.08,71,20,5.75,GB,2022-10-22 16:48:52
25,Hilo,19.7297,-155.09,77.29,95,100,4.61,US,2022-10-22 16:48:53
26,Inhambane,-23.865,35.3833,78.78,69,20,9.22,MZ,2022-10-22 16:48:54
27,Tuktoyaktuk,69.4541,-133.0374,12.2,92,20,8.05,CA,2022-10-22 16:48:54
28,Galle,6.0367,80.217,78.28,88,100,7.54,LK,2022-10-22 16:47:20
29,Baihar,22.1,80.55,62.98,78,0,2.66,IN,2022-10-22 16:48:55
30,San Policarpo,12.1791,125.5072,81.79,82,100,9.13,PH,2022-10-22 16:48:55
31,Port Elizabeth,-33.918,25.5701,68.09,92,40,16.11,ZA,2022-10-22 16:48:56
32,Yulara,-25.2406,130.9889,65.16,65,24,21.61,AU,2022-10-22 16:48:56
33,Rawson,-43.3002,-65.1023,72.66,18,4,18.03,AR,2022-10-22 16:48:56
34,Mataura,-46.1927,168.8643,38.26,96,20,3.31,NZ,2022-10-22 16:48:57
35,Butaritari,3.0707,172.7902,80.62,69,63,11.27,KI,2022-10-22 16:48:57
36,Narsaq,60.9167,-46.05,39.42,98,96,3.76,GL,2022-10-22 16:48:58
37,Cidreira,-30.1811,-50.2056,67.73,69,48,7.78,BR,2022-10-22 16:48:58
38,Bredasdorp,-34.5322,20.0403,63.23,80,6,14.43,ZA,2022-10-22 16:48:58
39,Tarsus,36.9188,34.8784,69.67,43,0,5.35,TR,2022-10-22 16:48:59
40,Busselton,-33.65,115.3333,55.0,83,23,5.93,AU,2022-10-22 16:49:00
